original_stem,without_prefix,renamed_stem,approx date
08,,东东晓雁柏林,before 1990
11,,东东壮一乒乓切搓赛,1991? 92?
10_Dinner_at_Tus_home_in_Shanghai_Nov._1991_Home_at_Duluth_1991,Dinner_at_Tus_home_in_Shanghai_Nov._1991_Home_at_Duluth_1991,"Dinner_at_Tus_home_in_Shanghai_Nov._1991,_Home_at_Duluth_1991",1/14/1992
12_Master_Defense,Master_Defense,东东Master_Defense,
14,,东东晓雁家,11/92
05_Brian_Tu,Brian_Tu,Brian_0mo-12mo,1/24/93 -
04_1st_Birthday_Christmas_1993,1st_Birthday_Christmas_1993,灵灵1st_Birthday_Christmas_1993_听评弹,1993
06_Brian_15MO-1M,Brian_15MO-1M,Brian_15mo-18mo,3/94-7/10/94
07_Brian_19mo_-_24_Month,Brian_19mo_-_24_Month,Brian_19mo-24mo,9/18/94 - 12/25/94
13_Brian_24_Month_-_36_Mo,Brian_24_Month_-_36_Mo,Brian_24mo-36mo_Zoe_birth,12/94? - 11/15/1995
15,,灵灵3岁,12/6/95 - 6/8/96
16_6.17.1996-9.16.1996_From_China,6.17.1996-9.16.1996_From_China,6.17.1996-9.16.1996_From_China,
17_9.16.1996-1.12.1997_From_China,9.16.1996-1.12.1997_From_China,9.16.1996-1.21.1997_From_China,
18_2.8.1997-7.14.1997_From_China,2.8.1997-7.14.1997_From_China,2.8.1997-7.14.1997_From_China,
19_7.14.1997-2.24.1998_From_China,7.14.1997-2.24.1998_From_China,7.14.1997-2.24.1998_From_China,
20_2.24.1998-10.5.1998_From_China_til_6.28.1998,2.24.1998-10.5.1998_From_China_til_6.28.1998,2.24.1998-10.5.1998_From_China_til_6.28.1998,
21_10.5.1998-11.5.1999,10.5.1998-11.5.1999,10.5.1998-11.5.1999,
01_Y2K_1,Y2K_1,Y2K_1,2000
02_Y2K_2,Y2K_2,Y2K_2,2000
03_Y2K_3,Y2K_3,Y2K_3,2000
22_11.5.1999-12.23.2000,11.5.1999-12.23.2000,11.5.1999-12.23.2000,
23_12.23.2000,12.23.2000,12.23.2000-,
24_Butterfield_Gallerie_of_Dance_5-6_Year_Olds_2000-2001,Butterfield_Gallerie_of_Dance_5-6_Year_Olds_2000-2001,Butterfield_Gallerie_of_Dance_5-6_Year_Olds_2000-2001,
25_Swim_Trial,Swim_Trial,Swim_Trial,
26_Zoe_Play_Narrator,Zoe_Play_Narrator,Zoe_Play_Narrator_1st_Grade,
